date,code,open,high,low,close,volume
20210615,hDJI,34397.1015625,34420.37890625,34199.16015625,34299.328125,272430000.0
20210616,hDJI,34308.48046875,34333.25,33917.109375,34033.671875,347150000.0
20210617,hDJI,34014.37890625,34091.7890625,33626.609375,33823.44921875,354690000.0
20210618,hDJI,33622.69921875,33622.69921875,33271.9296875,33290.078125,563920000.0
20210621,hDJI,33312.0703125,33908.08984375,33312.0703125,33876.96875,317260000.0
20210622,hDJI,33872.55859375,34040.69921875,33751.05859375,33945.578125,284130000.0
20210623,hDJI,33948.5390625,34009.3984375,33869.828125,33874.23828125,255280000.0
20210624,hDJI,33933.91015625,34233.01953125,33933.91015625,34196.8203125,275870000.0
20210625,hDJI,34328.1015625,34501.01953125,34314.80078125,34433.83984375,432550000.0
20210628,hDJI,34428.1015625,34449.6484375,34186.12890625,34283.26953125,280280000.0
20210629,hDJI,34338.890625,34469.828125,34266.828125,34292.2890625,282360000.0
20210630,hDJI,34290.73828125,34553.16015625,34245.48046875,34502.51171875,295560000.0
20210701,hDJI,34507.3203125,34640.28125,34498.8515625,34633.53125,268280000.0
20210702,hDJI,34642.421875,34821.9296875,34613.48828125,34786.3515625,301860000.0
20210706,hDJI,34790.16015625,34814.19921875,34358.421875,34577.37109375,348430000.0
20210707,hDJI,34604.171875,34708.78125,34435.58984375,34681.7890625,302700000.0
20210708,hDJI,34569.01171875,34569.01171875,34145.58984375,34421.9296875,335690000.0
20210709,hDJI,34457.51171875,34893.71875,34457.51171875,34870.16015625,301750000.0
20210712,hDJI,34836.75,35014.8984375,34730.1484375,34996.1796875,294800000.0
20210713,hDJI,34959.9609375,35018.7890625,34876.890625,34888.7890625,322430000.0
20210714,hDJI,34920.828125,35069.1796875,34826.87109375,34933.23046875,344340000.0
20210715,hDJI,34924.80859375,34990.41015625,34762.87109375,34987.01953125,320450000.0
20210716,hDJI,35007.94140625,35090.01171875,34647.8203125,34687.8515625,322980000.0
20210719,hDJI,34528.48046875,34528.48046875,33741.76171875,33962.0390625,440440000.0
20210720,hDJI,33981.7890625,34621.7890625,33981.7890625,34511.98828125,387020000.0
20210721,hDJI,34556.9609375,34820.23828125,34556.9609375,34798.0,317090000.0
20210722,hDJI,34799.6796875,34879.28125,34673.03125,34823.3515625,291610000.0
20210723,hDJI,34855.109375,35095.328125,34855.109375,35061.55078125,314040000.0
20210726,hDJI,35055.859375,35150.37109375,34950.19140625,35144.30859375,259790000.0
20210727,hDJI,35078.8984375,35078.8984375,34878.0703125,35058.51953125,326610000.0
20210728,hDJI,35109.94921875,35116.37109375,34876.83984375,34930.9296875,347170000.0
20210729,hDJI,34985.98828125,35171.51953125,34985.98828125,35084.53125,222680000.0
20210730,hDJI,35013.26171875,35106.30078125,34871.12890625,34935.46875,276410000.0
20210802,hDJI,34968.55859375,35192.109375,34808.19921875,34838.16015625,238620000.0
20210803,hDJI,34864.1015625,35120.94140625,34714.328125,35116.3984375,259820000.0
20210804,hDJI,35047.44140625,35047.44140625,34790.62109375,34792.671875,245300000.0
20210805,hDJI,34815.609375,35067.5390625,34815.609375,35064.25,216580000.0
20210806,hDJI,35077.44140625,35246.7890625,35077.44140625,35208.51171875,231570000.0
20210809,hDJI,35229.671875,35229.671875,35041.23828125,35101.8515625,207850000.0
20210810,hDJI,35135.171875,35285.16015625,35091.91015625,35264.671875,255040000.0
20210811,hDJI,35300.890625,35501.16015625,35300.890625,35484.96875,232800000.0
20210812,hDJI,35481.94140625,35510.76953125,35352.53125,35499.8515625,231600000.0
20210813,hDJI,35551.55859375,35610.5703125,35474.78125,35515.37890625,236790000.0
20210816,hDJI,35490.828125,35631.19140625,35231.87109375,35625.3984375,292590000.0
20210817,hDJI,35500.01171875,35500.01171875,35120.30859375,35343.28125,309410000.0
20210818,hDJI,35310.19921875,35356.80078125,34943.41015625,34960.69140625,289800000.0
20210819,hDJI,34874.671875,34997.80859375,34690.25,34894.12109375,333550000.0
20210820,hDJI,34917.9609375,35177.26171875,34867.0703125,35120.078125,269320000.0
20210823,hDJI,35160.96875,35428.91015625,35160.96875,35335.7109375,245760000.0
20210824,hDJI,35382.71875,35445.46875,35356.1796875,35366.26171875,228710000.0
20210825,hDJI,35388.76953125,35501.140625,35287.62890625,35405.5,237230000.0
20210826,hDJI,35449.6796875,35498.44921875,35205.1015625,35213.12109375,239740000.0
20210827,hDJI,35231.109375,35479.1796875,35231.109375,35455.80078125,240990000.0
20210830,hDJI,35471.80078125,35510.7109375,35374.4609375,35399.83984375,245390000.0
20210831,hDJI,35391.37890625,35449.7890625,35289.859375,35360.73046875,337240000.0
20210901,hDJI,35387.55078125,35407.37109375,35287.05078125,35312.53125,265520000.0
20210902,hDJI,35353.05859375,35475.3984375,35348.48046875,35443.8203125,263370000.0
20210903,hDJI,35401.73046875,35422.7109375,35269.3984375,35369.08984375,221370000.0
20210907,hDJI,35373.23828125,35373.23828125,35060.8984375,35100.0,289830000.0
20210908,hDJI,35087.44921875,35175.1484375,34925.609375,35031.0703125,261880000.0
20210909,hDJI,35013.078125,35199.890625,34847.30078125,34879.37890625,261330000.0
20210910,hDJI,34949.58984375,35104.25,34599.609375,34607.71875,333230000.0
20210913,hDJI,34665.5,34939.1015625,34665.5,34869.62890625,334190000.0
20210914,hDJI,34906.8984375,34990.359375,34510.30078125,34577.5703125,325140000.0
20210915,hDJI,34580.94921875,34880.76953125,34522.03125,34814.390625,317490000.0
20210916,hDJI,34810.26953125,34943.55078125,34540.109375,34751.3203125,278270000.0
20210917,hDJI,34737.859375,34779.859375,34519.62890625,34584.87890625,560630000.0
20210920,hDJI,34459.71875,34459.71875,33613.03125,33970.46875,435780000.0
20210921,hDJI,34025.609375,34313.87890625,33914.01953125,33919.83984375,306970000.0
20210922,hDJI,34006.87109375,34440.421875,34006.87109375,34258.3203125,296590000.0
20210923,hDJI,34296.30078125,34879.78125,34296.30078125,34764.8203125,283890000.0
20210924,hDJI,34762.30859375,34857.05859375,34648.078125,34798.0,254310000.0
20210927,hDJI,34739.26953125,35061.12109375,34739.26953125,34869.37109375,289480000.0
20210928,hDJI,34747.69921875,34798.2109375,34254.6484375,34299.98828125,379020000.0
20210929,hDJI,34360.078125,34580.421875,34305.9609375,34390.71875,290350000.0
20210930,hDJI,34467.98046875,34557.37109375,33833.3203125,33843.921875,354830000.0
20211001,hDJI,33930.69921875,34490.55859375,33785.5390625,34326.4609375,427580000.0
20211004,hDJI,34312.9609375,34410.28125,33821.578125,34002.921875,396860000.0
20211005,hDJI,34035.25,34490.94921875,34035.25,34314.671875,311520000.0
20211006,hDJI,34198.9609375,34432.6796875,33854.69140625,34416.98828125,322170000.0
20211007,hDJI,34509.71875,34975.19140625,34509.71875,34754.94140625,273290000.0
20211008,hDJI,34757.5703125,34842.62109375,34661.94921875,34746.25,238080000.0
20211011,hDJI,34723.7890625,34951.3515625,34486.51171875,34496.05859375,256820000.0
20211012,hDJI,34507.1484375,34611.23828125,34318.94140625,34378.33984375,319010000.0
20211013,hDJI,34372.7109375,34449.828125,34115.1015625,34377.80859375,316220000.0
20211014,hDJI,34443.21875,34923.828125,34443.21875,34912.55859375,338540000.0
20211015,hDJI,35023.62890625,35320.96875,35023.62890625,35294.76171875,327870000.0
20211018,hDJI,35221.01953125,35327.5703125,35035.94140625,35258.609375,312640000.0
20211019,hDJI,35325.37109375,35462.6796875,35290.12109375,35457.30859375,278510000.0
20211020,hDJI,35475.16015625,35669.69140625,35465.7109375,35609.33984375,265750000.0
20211021,hDJI,35520.3203125,35612.359375,35442.53125,35603.078125,298390000.0
20211022,hDJI,35607.71875,35765.01953125,35533.94921875,35677.01953125,346290000.0
20211025,hDJI,35692.62109375,35787.0390625,35629.37109375,35741.1484375,267220000.0
20211026,hDJI,35791.05078125,35892.921875,35734.73046875,35756.87890625,321910000.0
20211027,hDJI,35835.4296875,35835.4296875,35490.4296875,35490.69140625,354180000.0
20211028,hDJI,35545.41015625,35742.25,35545.41015625,35730.48046875,337400000.0
20211029,hDJI,35712.28125,35852.53125,35633.19921875,35819.55859375,399400000.0
20211101,hDJI,35833.6484375,36009.73828125,35797.96875,35913.83984375,292880000.0
20211102,hDJI,35935.109375,36088.80859375,35884.12890625,36052.62890625,304510000.0
20211103,hDJI,36059.08984375,36178.51171875,35891.73046875,36157.578125,262540000.0
20211104,hDJI,36107.4609375,36168.03125,35986.48046875,36124.23046875,307640000.0
20211105,hDJI,36268.75,36484.75,36190.19921875,36327.94921875,344600000.0
20211108,hDJI,36416.4609375,36565.73046875,36334.421875,36432.21875,284400000.0
20211109,hDJI,36404.53125,36416.98046875,36173.0703125,36319.98046875,258020000.0
20211110,hDJI,36299.25,36346.609375,36009.5,36079.94140625,278390000.0
20211111,hDJI,36038.78125,36108.171875,35915.26953125,35921.23046875,270320000.0
20211112,hDJI,35963.78125,36147.62890625,35934.58984375,36100.30859375,293180000.0
20211115,hDJI,36128.828125,36236.0703125,36031.78125,36087.44921875,280660000.0
20211116,hDJI,36076.1796875,36316.609375,36076.1796875,36142.21875,308290000.0
20211117,hDJI,36159.69921875,36159.69921875,35909.48046875,35931.05078125,358310000.0
20211118,hDJI,35901.69140625,35952.62890625,35654.390625,35870.94921875,435080000.0
20211119,hDJI,35879.08984375,35879.08984375,35555.37109375,35601.98046875,408840000.0
20211122,hDJI,35631.41015625,35929.66015625,35615.55078125,35619.25,420810000.0
20211123,hDJI,35619.921875,35841.51953125,35542.87109375,35813.80078125,392520000.0
20211124,hDJI,35752.30859375,35825.46875,35591.03125,35804.37890625,280960000.0
20211126,hDJI,35366.69140625,35366.69140625,34749.80078125,34899.33984375,324580000.0
20211129,hDJI,35017.7109375,35287.91015625,34895.890625,35135.94140625,416040000.0
20211130,hDJI,35056.98828125,35056.98828125,34424.44140625,34483.71875,678800000.0
20211201,hDJI,34678.94140625,35004.640625,34006.98046875,34022.0390625,496000000.0
20211202,hDJI,34076.25,34759.6484375,34076.25,34639.7890625,466900000.0
20211203,hDJI,34692.78125,34801.30859375,34264.5703125,34580.078125,439550000.0
20211206,hDJI,34633.4296875,35356.75,34633.4296875,35227.03125,416720000.0
20211207,hDJI,35423.98828125,35819.46875,35423.98828125,35719.4296875,474940000.0
20211208,hDJI,35716.8515625,35840.51953125,35602.6484375,35754.75,387650000.0
20211209,hDJI,35722.26171875,35864.23828125,35577.140625,35754.69140625,353020000.0
20211210,hDJI,35830.55078125,35982.69140625,35710.4296875,35970.98828125,361200000.0
20211213,hDJI,35958.9296875,35958.9296875,35609.53125,35650.94921875,441110000.0
20211214,hDJI,35605.73046875,35779.46875,35441.73828125,35544.1796875,440900000.0
20211215,hDJI,35549.3515625,35943.83984375,35389.30078125,35927.4296875,424720000.0
20211216,hDJI,36036.28125,36189.828125,35778.2109375,35897.640625,473620000.0
20211217,hDJI,35800.109375,35800.109375,35284.26171875,35365.44140625,750480000.0
20211220,hDJI,35222.12109375,35222.12109375,34665.5,34932.16015625,386590000.0
20211221,hDJI,35069.5,35508.9609375,35069.5,35492.69921875,346080000.0
20211222,hDJI,35491.7109375,35764.671875,35433.12890625,35753.890625,281930000.0
